epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
81,1339.32,1.31394,1.18327,0.01836,0.71905,0.68335,0.74093,0.4385,1.42754,1.15051,0.02821,0.00208,0.00208,0.00208
82,1355.94,1.31461,1.17458,0.01867,0.68608,0.69966,0.73113,0.43545,1.4212,1.16415,0.02834,0.001981,0.001981,0.001981
83,1372.69,1.31436,1.20339,0.01851,0.74925,0.65578,0.72839,0.41997,1.45691,1.22811,0.02906,0.001882,0.001882,0.001882
84,1389.39,1.31363,1.16791,0.01882,0.73373,0.65652,0.73239,0.43281,1.43614,1.14674,0.02858,0.001783,0.001783,0.001783
85,1406.23,1.30395,1.1766,0.01825,0.72593,0.66476,0.734,0.4268,1.44114,1.18752,0.02826,0.001684,0.001684,0.001684
86,1423.02,1.30523,1.15199,0.0186,0.70917,0.6926,0.74745,0.43217,1.42253,1.17382,0.02814,0.001585,0.001585,0.001585
87,1439.67,1.32363,1.16653,0.01911,0.76664,0.64178,0.74079,0.42675,1.44004,1.17755,0.02912,0.001486,0.001486,0.001486
88,1456.36,1.30505,1.20253,0.01875,0.71749,0.663,0.73653,0.43622,1.40695,1.17935,0.02771,0.001387,0.001387,0.001387
89,1473.07,1.30246,1.19295,0.01845,0.70576,0.68724,0.74267,0.43818,1.40586,1.16676,0.02783,0.001288,0.001288,0.001288
90,1489.89,1.29067,1.15872,0.01863,0.68611,0.71092,0.75184,0.44477,1.40965,1.12538,0.02783,0.001189,0.001189,0.001189
91,1511.64,1.32456,1.07713,0.02491,0.73354,0.66032,0.73941,0.44243,1.44398,1.12253,0.02855,0.00109,0.00109,0.00109
92,1528.36,1.31818,1.03941,0.02502,0.73495,0.67274,0.74574,0.43205,1.45513,1.16767,0.02877,0.000991,0.000991,0.000991
93,1544.98,1.28731,0.9994,0.02403,0.71806,0.69415,0.75209,0.44422,1.44928,1.12082,0.02865,0.000892,0.000892,0.000892
94,1561.68,1.29059,0.99439,0.02442,0.72518,0.69093,0.75017,0.44262,1.42712,1.15662,0.02821,0.000793,0.000793,0.000793
95,1578.43,1.28216,0.99807,0.02426,0.72568,0.68589,0.75151,0.44387,1.42534,1.13078,0.02832,0.000694,0.000694,0.000694
96,1595.16,1.2747,0.99399,0.02378,0.73918,0.68379,0.74978,0.43986,1.44246,1.11834,0.02861,0.000595,0.000595,0.000595
97,1611.82,1.27258,0.9898,0.02386,0.70832,0.6944,0.74849,0.44146,1.42347,1.13119,0.02803,0.000496,0.000496,0.000496
98,1628.58,1.26763,0.98909,0.02366,0.71923,0.68802,0.74626,0.44466,1.42803,1.12425,0.02836,0.000397,0.000397,0.000397
99,1645.29,1.25536,0.9637,0.0236,0.70318,0.701,0.75108,0.4449,1.43641,1.11891,0.02852,0.000298,0.000298,0.000298
100,1662.04,1.2548,0.94746,0.02329,0.74538,0.67536,0.7536,0.44715,1.43054,1.11744,0.02828,0.000199,0.000199,0.000199
